image_id,gt_count,old_r011_n_pred,m069_n_pred,r014_identity_n_pred,r014_hflip_n_pred,r014_vflip_n_pred
13806__1024__0___0,1,7,7,7,8,8
13811__1024__0___0,106,395,395,395,391,384
13814__1024__0___0,56,339,339,339,326,339
13816__1024__0___0,2,36,36,36,38,51
13817__1024__0___0,3,26,26,26,23,25
1381__1024__0___0,30,210,210,210,225,205
13821__1024__0___0,2,36,36,36,32,27
13822__1024__0___0,3,35,35,35,39,34
13825__1024__0___0,6,67,67,67,69,67
13827__1024__0___0,6,72,72,72,66,71
13828__1024__0___0,277,606,606,606,602,606
13830__1024__0___0,2,40,40,40,39,35
13831__1024__0___0,1,10,10,10,8,7
13838__1024__0___0,5,28,28,28,42,39
13840__1024__0___0,2,10,10,10,18,13
13848__1024__0___0,2,45,45,45,39,44
13854__1024__0___0,3,36,36,36,35,37
13856__1024__0___0,137,454,454,454,459,449
1385__1024__0___0,106,325,325,325,336,324
13861__1024__0___0,1,11,11,11,11,10
13862__1024__0___0,4,20,20,20,19,20
13866__1024__0___0,40,296,296,296,287,290
13871__1024__0___0,0,MISSING,4,4,1,3
13871__1024__0___824,1,2,2,2,2,1
13871__1024__0___976,1,3,3,3,3,5
13871__1024__824___0,0,MISSING,10,10,11,5
13871__1024__824___824,0,MISSING,5,5,4,7
13871__1024__824___976,0,MISSING,7,7,1,4
13871__1024__976___0,0,MISSING,10,10,6,5
13871__1024__976___824,0,MISSING,5,5,5,8
13871__1024__976___976,0,MISSING,5,5,1,9
13874__1024__0___0,1,20,20,20,22,21
13879__1024__0___0,1,12,12,12,15,12
13888__1024__0___0,27,243,243,243,250,216
13892__1024__0___0,9,53,53,53,56,59
1391__1024__0___0,4,45,45,45,43,49
1391__1024__0___476,5,38,38,38,35,44
1391__1024__476___0,4,40,40,40,39,43
1391__1024__476___476,5,36,36,36,43,36
1392__1024__0___0,2,41,41,41,44,31
13932__1024__0___0,8,100,100,100,97,107
13933__1024__0___0,71,307,307,307,305,293
13937__1024__0___0,1,11,11,11,13,11
13952__1024__0___0,30,248,248,248,248,237
13958__1024__0___0,35,275,275,275,300,288
13962__1024__0___0,1,13,13,13,15,18
13965__1024__0___0,6,82,82,82,78,77
13972__1024__0___0,41,283,283,283,277,270
13977__1024__0___0,1,9,9,9,8,7
13979__1024__0___0,3,34,34,34,35,33
13983__1024__0___0,1,20,20,20,23,28
13986__1024__0___0,14,93,93,93,94,100
13987__1024__0___0,44,249,249,249,236,240
13990__1024__0___0,3,25,25,25,29,21
13996__1024__0___0,4,37,37,37,34,41
14000__1024__0___0,1,15,15,15,15,16
14008__1024__0___0,2,16,16,16,17,19
1401__1024__0___0,135,409,409,409,424,417
14020__1024__0___0,13,91,91,91,94,89
14028__1024__0___0,25,211,211,211,222,204
14029__1024__0___0,1,3,3,3,5,4
14034__1024__0___0,10,77,77,77,82,76
14035__1024__0___0,2,38,38,38,40,43
14040__1024__0___0,12,86,86,86,74,82
14042__1024__0___0,2,21,21,21,22,21
14048__1024__0___0,1,2,2,2,3,2
14051__1024__0___0,4,62,62,62,60,62
14053__1024__0___0,68,386,386,386,379,381
14055__1024__0___0,4,63,63,63,52,60
14058__1024__0___0,9,61,61,61,63,66
14062__1024__0___0,44,275,275,275,306,317
14065__1024__0___0,37,239,239,239,243,250
14069__1024__0___0,7,61,61,61,57,61
14075__1024__0___0,10,92,92,92,92,95
14076__1024__0___0,1,5,5,5,4,3
14082__1024__0___0,6,50,50,50,50,60
14090__1024__0___0,16,99,99,99,92,74
14092__1024__0___0,3,45,45,45,42,44
14095__1024__0___0,1,3,3,3,3,5
140__1024__0___0,86,454,454,454,482,472
14115__1024__0___0,37,221,221,221,236,239
14119__1024__0___0,6,82,82,82,81,78
14120__1024__0___0,2,24,24,24,26,32
14124__1024__0___0,2,54,54,54,54,58
1412__1024__0___0,19,251,251,251,286,267
1412__1024__0___476,25,263,263,263,257,244
1412__1024__476___0,2,91,91,91,81,118
1412__1024__476___476,84,443,443,443,440,434
14131__1024__0___0,131,362,362,362,350,343
14132__1024__0___0,31,305,305,305,301,281
14135__1024__0___0,1,8,8,8,12,17
14143__1024__0___0,7,66,66,66,67,61
14144__1024__0___0,14,89,89,89,112,116
14150__1024__0___0,13,279,279,279,308,257
14151__1024__0___0,23,296,296,296,315,285
14158__1024__0___0,5,70,70,70,67,67
14162__1024__0___0,2,26,26,26,24,28
1416__1024__0___0,177,505,505,505,495,477
14174__1024__0___0,250,545,545,545,542,537
14177__1024__0___0,1,18,18,18,19,19
14183__1024__0___0,11,89,89,89,85,90
14186__1024__0___0,2,11,11,11,4,6
14188__1024__0___0,1,5,5,5,3,3
1418__1024__0___0,2,32,32,32,36,34
1418__1024__0___476,4,37,37,37,37,41
1418__1024__476___0,1,30,30,30,31,35
1418__1024__476___476,4,47,47,47,49,43
14204__1024__0___0,23,235,235,235,241,257
14205__1024__0___0,29,207,207,207,188,216
14218__1024__0___0,10,96,96,96,101,95
14222__1024__0___0,8,93,93,93,86,93
14223__1024__0___0,23,217,217,217,225,202
14231__1024__0___0,40,219,219,219,222,218
14237__1024__0___0,9,171,171,171,195,158
14239__1024__0___0,2,36,36,36,33,40
14247__1024__0___0,12,97,97,97,95,92
14249__1024__0___0,4,38,38,38,34,33
14255__1024__0___0,10,159,159,159,181,195
14271__1024__0___0,1,10,10,10,11,9
1428__1024__0___0,25,312,312,312,313,298
14295__1024__0___0,26,306,306,306,260,311
14310__1024__0___0,41,253,253,253,262,259
14312__1024__0___0,1,3,3,3,3,2
14313__1024__0___0,32,297,297,297,306,304
14316__1024__0___0,7,63,63,63,58,66
14324__1024__0___0,7,45,45,45,44,50
14328__1024__0___0,2,20,20,20,23,20
14333__1024__0___0,3,42,42,42,42,35
14335__1024__0___0,1,25,25,25,26,22
14350__1024__0___0,2,14,14,14,15,12
14352__1024__0___0,2,199,199,199,194,210
14353__1024__0___0,14,157,157,157,124,141
14356__1024__0___0,1,12,12,12,14,12
14360__1024__0___0,15,104,104,104,107,111
14373__1024__0___0,7,59,59,59,62,60
14381__1024__0___0,1,25,25,25,23,21
14387__1024__0___0,1,34,34,34,34,34
14393__1024__0___0,49,242,242,242,252,244
14395__1024__0___0,34,279,279,279,268,276
14396__1024__0___0,11,85,85,85,88,83
14397__1024__0___0,2,29,29,29,31,27
14404__1024__0___0,3,45,45,45,44,42
14410__1024__0___0,3,49,49,49,47,48
14411__1024__0___0,1,24,24,24,25,19
14420__1024__0___0,1,9,9,9,11,8
14424__1024__0___0,4,32,32,32,36,29
14426__1024__0___0,54,279,279,279,291,284
14427__1024__0___0,9,100,100,100,97,89
14432__1024__0___0,10,74,74,74,78,78
14435__1024__0___0,3,40,40,40,34,32
14451__1024__0___0,4,58,58,58,66,60
14453__1024__0___0,16,113,113,113,100,106
14457__1024__0___0,14,166,166,166,160,159
1445__1024__0___0,1,21,21,21,17,22
14461__1024__0___0,4,31,31,31,27,26
14462__1024__0___0,1,3,3,3,2,5
14463__1024__0___0,1,7,7,7,10,7
14471__1024__0___0,20,209,209,209,228,240
14473__1024__0___0,3,14,14,14,13,15
1447__1024__0___0,21,298,298,298,288,295
14484__1024__0___0,16,83,83,83,79,85
14485__1024__0___0,3,49,49,49,49,49
14497__1024__0___0,5,68,68,68,51,66
14498__1024__0___0,153,492,492,492,481,489
14507__1024__0___0,3,32,32,32,32,26
14515__1024__0___0,1,7,7,7,5,7
14521__1024__0___0,82,349,349,349,354,342
14525__1024__0___0,3,59,59,59,65,59
14527__1024__0___0,78,311,311,311,339,339
14529__1024__0___0,6,88,88,88,99,91
14530__1024__0___0,0,MISSING,3,3,0,3
14530__1024__0___824,2,21,21,21,19,22
14530__1024__0___976,2,25,25,25,17,26
14530__1024__824___0,0,MISSING,3,3,4,5
14530__1024__824___824,0,MISSING,1,1,2,2
14530__1024__824___976,0,MISSING,1,1,4,5
14530__1024__976___0,0,MISSING,10,10,11,10
14530__1024__976___824,0,MISSING,1,1,0,1
14530__1024__976___976,0,MISSING,2,2,0,5
14535__1024__0___0,1,16,16,16,17,19
14538__1024__0___0,11,80,80,80,91,83
14543__1024__0___0,1,17,17,17,19,18
14545__1024__0___0,3,40,40,40,36,39
14546__1024__0___0,1,10,10,10,9,10
14549__1024__0___0,2,27,27,27,43,20
14549__1024__0___824,0,MISSING,1,1,2,2
14549__1024__0___976,1,17,17,17,14,15
14549__1024__824___0,4,75,75,75,74,51
14549__1024__824___824,1,22,22,22,20,26
14549__1024__824___976,0,MISSING,9,9,4,10
14549__1024__976___0,4,56,56,56,63,62
14549__1024__976___824,1,36,36,36,28,35
14549__1024__976___976,1,29,29,29,29,27
1454__1024__0___0,189,542,542,542,519,540
14557__1024__0___0,3,32,32,32,32,35
14560__1024__0___0,9,120,120,120,101,111
14562__1024__0___0,1,9,9,9,9,9
14565__1024__0___0,1,4,4,4,5,5
14567__1024__0___0,3,56,56,56,60,58
14569__1024__0___0,30,255,255,255,252,269
14575__1024__0___0,45,274,274,274,273,268
14579__1024__0___0,3,17,17,17,18,19
14580__1024__0___0,7,62,62,62,58,62
14581__1024__0___0,63,316,316,316,309,323
14583__1024__0___0,3,22,22,22,23,24
14586__1024__0___0,29,212,212,212,199,218
14593__1024__0___0,6,48,48,48,47,54
14595__1024__0___0,30,233,233,233,224,230
14600__1024__0___0,3,31,31,31,26,31
14603__1024__0___0,82,389,389,389,390,397
14604__1024__0___0,7,76,76,76,79,78
14610__1024__0___0,1,21,21,21,21,17
14616__1024__0___0,25,203,203,203,192,196
14626__1024__0___0,42,280,280,280,263,273
14637__1024__0___0,1,8,8,8,8,8
14653__1024__0___0,15,102,102,102,104,103
14654__1024__0___0,31,201,201,201,215,212
1465__1024__0___0,51,261,261,261,290,252
14661__1024__0___0,5,50,50,50,53,50
14665__1024__0___0,1,17,17,17,24,22
14666__1024__0___0,1,8,8,8,8,8
14667__1024__0___0,9,241,241,241,260,272
14668__1024__0___0,1,18,18,18,16,16
1466__1024__0___0,38,232,232,232,227,208
14673__1024__0___0,3,196,196,196,152,154
14674__1024__0___0,11,86,86,86,97,95
14676__1024__0___0,1,14,14,14,15,15
14681__1024__0___0,15,153,153,153,127,143
14689__1024__0___0,90,334,334,334,320,343
14691__1024__0___0,18,188,188,188,214,187
14692__1024__0___0,3,30,30,30,29,31
14693__1024__0___0,1,7,7,7,7,6
14697__1024__0___0,7,56,56,56,45,52
14698__1024__0___0,11,152,152,152,168,169
14699__1024__0___0,1,14,14,14,14,16
14712__1024__0___0,22,317,317,317,229,306
14716__1024__0___0,7,58,58,58,58,59
14718__1024__0___0,3,22,22,22,16,18
14719__1024__0___0,125,389,389,389,409,378
14727__1024__0___0,1,8,8,8,9,9
14731__1024__0___0,3,21,21,21,20,19
14732__1024__0___0,26,283,283,283,261,272
14733__1024__0___0,1,15,15,15,13,14
14740__1024__0___0,2,64,64,64,61,53
14749__1024__0___0,143,491,491,491,481,467
14753__1024__0___0,4,72,72,72,95,89
14755__1024__0___0,91,334,334,334,325,341
14761__1024__0___0,11,184,184,184,164,188
14771__1024__0___0,7,66,66,66,71,71
14774__1024__0___0,4,49,49,49,44,40
14782__1024__0___0,8,84,84,84,82,66
14789__1024__0___0,37,281,281,281,309,326
1478__1024__0___0,1,12,12,12,9,10
14794__1024__0___0,246,686,686,686,683,683
14797__1024__0___0,1,39,39,39,38,40
14808__1024__0___0,2,28,28,28,25,27
14811__1024__0___0,2,32,32,32,32,32
14812__1024__0___0,7,345,345,345,296,345
14819__1024__0___0,28,332,332,332,315,379
14821__1024__0___0,1,8,8,8,8,8
14826__1024__0___0,2,17,17,17,21,20
14828__1024__0___0,15,178,178,178,175,173
14832__1024__0___0,2,16,16,16,20,13
14841__1024__0___0,35,261,261,261,281,277
1485__1024__0___0,23,273,273,273,255,251
14862__1024__0___0,1,8,8,8,4,4
14865__1024__0___0,14,246,246,246,195,215
1486__1024__0___0,43,254,254,254,246,242
14871__1024__0___0,7,57,57,57,55,45
14877__1024__0___0,9,119,119,119,117,105
14878__1024__0___0,6,81,81,81,81,75
1487__1024__0___0,12,90,90,90,99,84
14885__1024__0___0,36,324,324,324,323,324
14887__1024__0___0,96,416,416,416,417,399
14892__1024__0___0,3,10,10,10,12,11
14896__1024__0___0,3,42,42,42,42,38
14898__1024__0___0,4,53,53,53,57,62
148__1024__0___0,6,44,44,44,45,45
14900__1024__0___0,1,4,4,4,3,2
14903__1024__0___0,2,26,26,26,21,23
14912__1024__0___0,14,99,99,99,95,87
14918__1024__0___0,13,70,70,70,71,75
14920__1024__0___0,4,32,32,32,32,35
14923__1024__0___0,76,296,296,296,298,287
14926__1024__0___0,1,12,12,12,13,16
14928__1024__0___0,3,41,41,41,35,37
14941__1024__0___0,1,56,56,56,47,51
14946__1024__0___0,15,242,242,242,242,254
14953__1024__0___0,57,325,325,325,335,322
14954__1024__0___0,2,79,79,79,77,56
14956__1024__0___0,3,37,37,37,42,44
14958__1024__0___0,1,8,8,8,8,6
14960__1024__0___0,37,246,246,246,239,249
14962__1024__0___0,85,347,347,347,327,329
1496__1024__0___0,1,11,11,11,9,11
1496__1024__0___476,1,11,11,11,4,3
1496__1024__476___0,2,18,18,18,16,17
1496__1024__476___476,1,11,11,11,5,2
14976__1024__0___0,53,265,265,265,270,264
14980__1024__0___0,54,242,242,242,256,253
14989__1024__0___0,1,9,9,9,8,8
14996__1024__0___0,7,74,74,74,84,74
15007__1024__0___0,2,25,25,25,26,25
1500__1024__0___0,39,312,312,312,305,300
15021__1024__0___0,1,27,27,27,23,26
15027__1024__0___0,1,35,35,35,53,48
15033__1024__0___0,4,33,33,33,33,35
15041__1024__0___0,27,199,199,199,208,206
15042__1024__0___0,24,166,166,166,181,160
15043__1024__0___0,90,357,357,357,353,359
15046__1024__0___0,2,24,24,24,24,23
15063__1024__0___0,1,12,12,12,15,10
15064__1024__0___0,14,205,205,205,176,189
15068__1024__0___0,5,117,117,117,122,132
15074__1024__0___0,89,383,383,383,387,396
15075__1024__0___0,5,60,60,60,61,61
15077__1024__0___0,3,57,57,57,58,65
15083__1024__0___0,15,265,265,265,264,273
15087__1024__0___0,3,63,63,63,62,42
1508__1024__0___0,1,18,18,18,17,18
15092__1024__0___0,5,57,57,57,43,46
15096__1024__0___0,1,44,44,44,51,34
15100__1024__0___0,2,27,27,27,25,30
15104__1024__0___0,51,261,261,261,290,252
15105__1024__0___0,99,374,374,374,376,382
15107__1024__0___0,1,24,24,24,16,25
15109__1024__0___0,6,72,72,72,68,72
15111__1024__0___0,3,14,14,14,17,11
15120__1024__0___0,2,8,8,8,11,9
15126__1024__0___0,39,323,323,323,306,318
1512__1024__0___0,1,18,18,18,16,17
15144__1024__0___0,21,247,247,247,226,237
15151__1024__0___0,110,438,438,438,443,437
15156__1024__0___0,5,46,46,46,49,52
15157__1024__0___0,1,27,27,27,28,23
15175__1024__0___0,6,59,59,59,57,60
15188__1024__0___0,8,66,66,66,66,63
1518__1024__0___0,73,317,317,317,308,326
15190__1024__0___0,17,192,192,192,179,186
15199__1024__0___0,1,10,10,10,12,10
15211__1024__0___0,64,403,403,403,381,386
15213__1024__0___0,9,68,68,68,75,69
15221__1024__0___0,3,35,35,35,36,40
15222__1024__0___0,22,195,195,195,190,180
15224__1024__0___0,4,25,25,25,24,20
15225__1024__0___0,7,99,99,99,116,114
15226__1024__0___0,6,39,39,39,36,38
15229__1024__0___0,2,57,57,57,46,53
15234__1024__0___0,135,516,516,516,507,534
15239__1024__0___0,20,255,255,255,245,252
15244__1024__0___0,4,47,47,47,47,47
15245__1024__0___0,42,229,229,229,224,237
15246__1024__0___0,2,87,87,87,93,92
15247__1024__0___0,1,8,8,8,8,9
15255__1024__0___0,7,83,83,83,82,104
15261__1024__0___0,12,257,257,257,266,276
15268__1024__0___0,0,MISSING,15,15,15,15
15268__1024__0___824,0,MISSING,13,13,13,9
15268__1024__0___976,0,MISSING,9,9,9,8
15268__1024__824___0,3,26,26,26,18,14
15268__1024__824___824,0,MISSING,8,8,11,8
15268__1024__824___976,0,MISSING,6,6,5,7
15268__1024__976___0,4,19,19,19,18,14
15268__1024__976___824,0,MISSING,10,10,10,10
15268__1024__976___976,0,MISSING,8,8,9,7
15270__1024__0___0,4,75,75,75,57,70
15274__1024__0___0,60,272,272,272,271,272
15277__1024__0___0,5,51,51,51,53,52
15278__1024__0___0,2,34,34,34,34,28
15283__1024__0___0,14,215,215,215,214,190
15290__1024__0___0,1,35,35,35,32,35
15294__1024__0___0,27,254,254,254,273,257
1531__1024__0___0,0,MISSING,26,26,20,21
1531__1024__0___476,0,MISSING,32,32,28,25
1531__1024__476___0,1,14,14,14,17,17
1531__1024__476___476,0,MISSING,15,15,19,16
15330__1024__0___0,3,71,71,71,74,70
15336__1024__0___0,6,41,41,41,38,41
15341__1024__0___0,5,46,46,46,50,53
15343__1024__0___0,1,13,13,13,13,10
15344__1024__0___0,12,250,250,250,235,241
15345__1024__0___0,3,76,76,76,84,94
15349__1024__0___0,1,8,8,8,6,9
1534__1024__0___0,333,541,541,541,526,528
15350__1024__0___0,6,54,54,54,58,55
15351__1024__0___0,7,38,38,38,44,41
15366__1024__0___0,10,75,75,75,73,73
15368__1024__0___0,6,57,57,57,51,55
1536__1024__0___0,114,358,358,358,351,379
15380__1024__0___0,2,24,24,24,26,24
15381__1024__0___0,59,265,265,265,264,272
15385__1024__0___0,8,74,74,74,78,68
15387__1024__0___0,17,114,114,114,123,114
15399__1024__0___0,16,248,248,248,245,243
153__1024__0___0,55,292,292,292,295,308
15400__1024__0___0,14,179,179,179,188,199
15402__1024__0___0,34,279,279,279,250,286
15409__1024__0___0,2,17,17,17,14,15
1540__1024__0___0,60,420,420,420,420,452
15411__1024__0___0,3,42,42,42,39,45
15412__1024__0___0,83,310,310,310,330,312
15415__1024__0___0,34,391,391,391,375,387
15419__1024__0___0,4,39,39,39,34,39
15437__1024__0___0,1,11,11,11,9,9
15439__1024__0___0,3,32,32,32,36,37
15442__1024__0___0,30,265,265,265,271,279
15456__1024__0___0,4,87,87,87,76,79
15470__1024__0___0,2,30,30,30,32,30
15477__1024__0___0,5,89,89,89,78,98
1547__1024__0___0,1,14,14,14,12,10
1547__1024__0___476,1,19,19,19,20,13
1547__1024__476___0,43,224,224,224,248,218
1547__1024__476___476,44,246,246,246,266,244
15487__1024__0___0,2,27,27,27,26,27
15493__1024__0___0,62,335,335,335,327,315
15496__1024__0___0,6,66,66,66,40,44
15498__1024__0___0,20,140,140,140,157,151
154__1024__0___0,58,339,339,339,351,338
15503__1024__0___0,43,327,327,327,337,336
15504__1024__0___0,1,30,30,30,37,33
15506__1024__0___0,26,253,253,253,248,235
15514__1024__0___0,61,316,316,316,327,336
15526__1024__0___0,1,1,1,1,1,1
15529__1024__0___0,1,10,10,10,11,12
15534__1024__0___0,28,280,280,280,259,283
15535__1024__0___0,10,110,110,110,109,123
15537__1024__0___0,1,9,9,9,9,9
15542__1024__0___0,39,234,234,234,238,252
15543__1024__0___0,1,14,14,14,17,9
15543__1024__0___824,0,MISSING,0,0,0,0
15543__1024__0___976,0,MISSING,0,0,0,0
15543__1024__824___0,0,MISSING,20,20,33,20
15543__1024__824___824,0,MISSING,5,5,8,2
15543__1024__824___976,0,MISSING,0,0,0,0
15543__1024__976___0,0,MISSING,15,15,23,15
15543__1024__976___824,0,MISSING,8,8,12,1
15543__1024__976___976,0,MISSING,0,0,0,0
1554__1024__0___0,13,118,118,118,119,130
1554__1024__0___476,0,MISSING,9,9,12,11
1554__1024__476___0,7,73,73,73,75,71
1554__1024__476___476,1,13,13,13,19,23
15552__1024__0___0,2,30,30,30,29,35
15565__1024__0___0,4,87,87,87,72,101
15565__1024__0___1648,0,MISSING,11,11,15,13
15565__1024__0___2472,2,30,30,30,43,52
15565__1024__0___2976,7,61,61,61,81,111
15565__1024__0___824,5,72,72,72,75,74
15565__1024__1648___0,2,93,93,93,95,83
15565__1024__1648___1648,2,21,21,21,29,22
15565__1024__1648___2472,1,15,15,15,34,18
15565__1024__1648___2976,3,28,28,28,45,36
15565__1024__1648___824,7,137,137,137,161,147
15565__1024__2472___0,12,217,217,217,225,245
15565__1024__2472___1648,9,55,55,55,81,75
15565__1024__2472___2472,7,83,83,83,100,88
15565__1024__2472___2976,4,96,96,96,97,109
15565__1024__2472___824,7,116,116,116,103,120
15565__1024__2976___0,17,175,175,175,192,191
15565__1024__2976___1648,13,96,96,96,110,112
15565__1024__2976___2472,7,137,137,137,132,138
15565__1024__2976___2976,5,167,167,167,139,177
15565__1024__2976___824,5,72,72,72,60,81
15565__1024__824___0,0,MISSING,100,100,88,83
15565__1024__824___1648,0,MISSING,15,15,9,16
15565__1024__824___2472,0,MISSING,27,27,16,17
15565__1024__824___2976,6,57,57,57,62,63
15565__1024__824___824,7,99,99,99,109,89
15571__1024__0___0,5,241,241,241,227,220
15574__1024__0___0,5,62,62,62,65,57
15578__1024__0___0,206,447,447,447,442,425
15582__1024__0___0,2,27,27,27,16,16
15588__1024__0___0,3,25,25,25,27,26
15589__1024__0___0,30,108,108,108,99,110
1558__1024__0___0,1,21,21,21,18,40
1558__1024__0___476,4,41,41,41,49,77
1558__1024__476___0,0,MISSING,4,4,75,12
1558__1024__476___476,2,103,103,103,26,58
15591__1024__0___0,1,27,27,27,34,30
15592__1024__0___0,11,135,135,135,138,122
15596__1024__0___0,19,144,144,144,149,130
15607__1024__0___0,1,18,18,18,24,15
1560__1024__0___0,3,18,18,18,25,25
15626__1024__0___0,1,16,16,16,18,15
15629__1024__0___0,1,17,17,17,18,14
1562__1024__0___0,63,266,266,266,274,290
15631__1024__0___0,3,42,42,42,46,46
15634__1024__0___0,11,86,86,86,99,92
15641__1024__0___0,0,MISSING,11,11,8,11
15641__1024__0___824,0,MISSING,1,1,6,1
15641__1024__0___976,0,MISSING,0,0,0,2
15641__1024__824___0,0,MISSING,53,53,51,52
15641__1024__824___824,1,9,9,9,11,5
15641__1024__824___976,1,9,9,9,3,8
15641__1024__976___0,0,MISSING,74,74,63,68
15641__1024__976___824,2,11,11,11,9,4
15641__1024__976___976,2,6,6,6,3,17
15642__1024__0___0,26,329,329,329,308,316
15645__1024__0___0,113,573,573,573,581,596
15648__1024__0___0,1,9,9,9,10,8
1565__1024__0___0,35,218,218,218,218,226
15680__1024__0___0,14,95,95,95,91,95
15682__1024__0___0,6,75,75,75,70,72
15684__1024__0___0,10,81,81,81,85,77
15685__1024__0___0,4,70,70,70,65,67
15688__1024__0___0,39,257,257,257,248,240
15690__1024__0___0,2,28,28,28,25,30
15691__1024__0___0,1,35,35,35,33,24
15693__1024__0___0,9,106,106,106,99,119
15694__1024__0___0,4,105,105,105,107,109
1569__1024__0___0,3,29,29,29,30,34
15702__1024__0___0,24,264,264,264,235,264
15709__1024__0___0,12,196,196,196,221,209
15711__1024__0___0,205,538,538,538,511,516
15712__1024__0___0,3,19,19,19,14,16
15714__1024__0___0,1,15,15,15,18,19
15718__1024__0___0,9,55,55,55,56,50
15720__1024__0___0,1,15,15,15,15,15
15726__1024__0___0,1,34,34,34,35,35
1572__1024__0___0,127,416,416,416,419,404
15738__1024__0___0,1,20,20,20,16,22
15739__1024__0___0,1,4,4,4,5,5
1573__1024__0___0,0,MISSING,7,7,4,2
1573__1024__0___476,0,MISSING,1,1,2,1
1573__1024__476___0,0,MISSING,0,0,0,0
1573__1024__476___476,3,40,40,40,36,34
15748__1024__0___0,8,187,187,187,204,224
15750__1024__0___0,8,74,74,74,69,79
15751__1024__0___0,19,121,121,121,125,124
15752__1024__0___0,14,77,77,77,76,74
15758__1024__0___0,37,223,223,223,213,218
15767__1024__0___0,1,15,15,15,20,14
15769__1024__0___0,34,235,235,235,246,246
1577__1024__0___0,124,540,540,540,526,528
15781__1024__0___0,4,47,47,47,45,59
15786__1024__0___0,4,54,54,54,51,48
15800__1024__0___0,14,220,220,220,228,239
15801__1024__0___0,49,337,337,337,328,352
15814__1024__0___0,55,332,332,332,334,316
15815__1024__0___0,7,70,70,70,68,76
15817__1024__0___0,1,7,7,7,8,8
15825__1024__0___0,8,42,42,42,34,42
15828__1024__0___0,2,22,22,22,19,18
15828__1024__0___824,3,23,23,23,21,25
15828__1024__0___976,6,39,39,39,36,31
15828__1024__824___0,1,10,10,10,10,11
15828__1024__824___824,1,16,16,16,16,18
15828__1024__824___976,1,15,15,15,12,12
15828__1024__976___0,1,11,11,11,10,11
15828__1024__976___824,1,19,19,19,16,20
15828__1024__976___976,1,13,13,13,8,11
15829__1024__0___0,52,238,238,238,236,249
15830__1024__0___0,47,275,275,275,287,273
15831__1024__0___0,5,54,54,54,54,59
15832__1024__0___0,70,330,330,330,332,320
15833__1024__0___0,33,296,296,296,309,300
15835__1024__0___0,9,88,88,88,85,82
15841__1024__0___0,22,217,217,217,232,231
15845__1024__0___0,5,47,47,47,46,49
15846__1024__0___0,29,306,306,306,289,317
1584__1024__0___0,8,61,61,61,58,64
1584__1024__0___1648,0,MISSING,22,22,17,25
1584__1024__0___1976,0,MISSING,12,12,15,18
1584__1024__0___824,0,MISSING,6,6,6,9
1584__1024__1648___0,0,MISSING,8,8,14,10
1584__1024__1648___1648,0,MISSING,16,16,16,15
1584__1024__1648___1976,0,MISSING,22,22,15,19
1584__1024__1648___824,0,MISSING,14,14,12,12
1584__1024__1976___0,0,MISSING,14,14,15,11
1584__1024__1976___1648,0,MISSING,10,10,13,14
1584__1024__1976___1976,0,MISSING,12,12,14,9
1584__1024__1976___824,0,MISSING,3,3,7,7
1584__1024__824___0,1,11,11,11,15,9
1584__1024__824___1648,0,MISSING,27,27,23,20
1584__1024__824___1976,0,MISSING,16,16,23,19
1584__1024__824___824,0,MISSING,24,24,22,27
15850__1024__0___0,1,4,4,4,3,2
15854__1024__0___0,8,61,61,61,68,69
15855__1024__0___0,2,26,26,26,28,27
15857__1024__0___0,5,37,37,37,31,31
15860__1024__0___0,12,268,268,268,229,235
15863__1024__0___0,43,178,178,178,172,183
15870__1024__0___0,3,22,22,22,21,21
15879__1024__0___0,518,800,800,800,786,771
15885__1024__0___0,3,45,45,45,45,46
1588__1024__0___0,78,317,317,317,326,322
15890__1024__0___0,23,331,331,331,330,334
15897__1024__0___0,2,12,12,12,11,16
15902__1024__0___0,3,38,38,38,38,34
15908__1024__0___0,4,29,29,29,29,38
1590__1024__0___0,119,381,381,381,377,378
15913__1024__0___0,13,86,86,86,94,96
15914__1024__0___0,20,223,223,223,228,220
15915__1024__0___0,24,194,194,194,195,206
1591__1024__0___0,3,16,16,16,26,35
1591__1024__0___476,2,8,8,8,10,8
1591__1024__476___0,0,MISSING,13,13,19,26
1591__1024__476___476,1,2,2,2,4,5
15926__1024__0___0,45,372,372,372,377,352
15928__1024__0___0,1,4,4,4,1,1
15931__1024__0___0,2,23,23,23,13,22
15937__1024__0___0,2,33,33,33,35,35
15939__1024__0___0,6,53,53,53,64,57
15945__1024__0___0,57,284,284,284,308,319
15946__1024__0___0,61,321,321,321,299,309
1594__1024__0___0,1,10,10,10,11,9
1594__1024__0___476,0,MISSING,0,0,0,0
1594__1024__476___0,0,MISSING,13,13,12,14
1594__1024__476___476,0,MISSING,10,10,12,11
15958__1024__0___0,1,4,4,4,4,3
15961__1024__0___0,2,25,25,25,19,21
15964__1024__0___0,6,114,114,114,134,127
15968__1024__0___0,9,125,125,125,140,133
1596__1024__0___0,37,371,371,371,364,364
15972__1024__0___0,1,27,27,27,26,22
15976__1024__0___0,2,26,26,26,18,25
15994__1024__0___0,2,30,30,30,31,31
15997__1024__0___0,5,43,43,43,41,50
15998__1024__0___0,77,313,313,313,328,324
15999__1024__0___0,21,246,246,246,256,251
159__1024__0___0,18,348,348,348,328,322
16007__1024__0___0,4,44,44,44,35,25
16014__1024__0___0,24,197,197,197,186,199
